Tracy No.,Frank No.
,1
,2
,3
,4
,5
,6
,7
,8
,9
,10
,11
,12
,13
,14
,15
,16
1,17
,18
,19
,20
2,21
,22
,23
,24
,25
,26
,27
,28
,29
3,30
,31
,32
,33
,34
,35
,36
4,37
5,38
6,39
,40
10,41
9,42
,43
11,44
12,45
,46
,47
,48
16,49
,50
,51
,52
,53
,54
,55
,56
,57
,58
17,59
,60
,61
,62
,63
,64
,65
,66
,67
,68
,69
,70
,71
18,72
,73
,74
,75
,76
19,77
,78
27,79
25,80
20,81
23,82
21,83
22,84
26,85
28,86
,87
30,88
29,89
33,90
32,91
31,92
,93
,94
,95
,96
,97
,98
,99
34,100
35,101
38,102
36,103
37,104
,105
39,106
40,107
41,108
,109
,110
42,111
,112
,113
,114
,115
43,116
,117
,118
44,119
,120
,121
,122
,123
45,124
,125
,126
,127
,128
46,129
,130
,131
47,132
,133
,134
,135
,136
,137
,138
51,139
50,140
,141
,142
,143
52,144
,145
53,146
55,147
54,148
,149
,150
,151
58,152
59,153
,154
,155
,156
60,157
61,158
,159
62,160
,161
,162
,163
,164
,165
,166
,167
,168
,169
,170
,171
,172
64,173
65,174
,175
,176
67,177
66,178
68,179
69,180
,181
,182
,183
,184
,185
,186
,187
70,189
72,190
71,191
,192
,193
,194
73,195
,196
,197
74,198
76,199
,200
75,201
,202
77,203
,204
,205
78,206
,207
,208
79,209
81,210
80,211
,212
,213
,214
,215
,216
,217
,218
,219
83,220
82,221
,223
,224
,225
,226
87,227
89,228
85,229
,230
88,231
,232
90,233
86,234
,235
,236
91,237
,238
,239
92,240
93,241
94,242
95,243
99,244
96,245
102,246
100,247
,248
,249
,250
,251
104,252
,253
,254
105,255
,256
,257
,258
106,259
,260
,261
,262
,263
,264
108,265
111,266
110,267
109,268
107,269
,270
,271
112,272
,273
,274
,275
113,276
114,277
,278
115,279
,280
,281
,282
116,283
,284
,285
,286
,287
,288
,289
,290
117,291
,292
,293
,294
118,295
119,296
120,297
,298
,299
,300
,301
,302
,303
,304
,305
,306
,307
,308
,309
,310
,311
,312
,313
,314
122,315
123,316
,317
,318
125,319
127,320
124,321
,322
,323
128,324
,325
,326
,327
,328
129,329
,330
,331
,332
131,333
130,334
,335
132,336
,337
,338
,339
,340
,341
,342
,343
,344
,345
133,346
138,347
137,348
136,349
135,350
134,351
139,352
,353
,354
141,355
143,356
140,357
142,358
144,359
145,360
,361
146,362
153,363
149,364
150,365
154,366
152,367
,368
,369
148,370
151,371
,372
155,373
,374
157,375
,376
,377
,378
,379
,380
,381
,382
,383
,384
,385
,386
,387
,388
,389
,390
,391
,392
,393
,394
,395
,396
,397
,398
161,399
165,400
162,401
160,402
163,403
167,404
166,405
,406
,407
168,408
,409
,410
,411
,412
169,413
,414
171,415
173,416
170,417
172,418
,419
174,420
,421
,422
,423
,424
175,425
,426
177,427
,428
,429
,430
,431
,432
,433
,434
182,435
180,436
178,437
181,438
185,439
183,440
184,441
179,442
,443
,444
,445
,446
186,447
,448
,449
,450
,451
188,452
,453
189,454
,455
,456
,457
,458
,459
,460
191,461
,462
192,463
,464
190,465
193,466
,467
194,468
,469
197,470
,471
,472
,473
,474
198,475
,476
,477
,478
201,479
,480
,481
,482
,483
,484
,485
199,486
200,487
,488
202,489
,490
205,491
,492
,493
,494
206,495
207,496
,497
208,498
,499
,500
,188222
7,
8,
13,
14,
15,
24,
48,
49,
56,
57,
63,
84,
97,
98,
101,
103,
121,
126,
147,
156,
158,
159,
164,
176,
187,
195,
196,
203,
204,