Tracy No.,Frank No.,Year-Frank,Full Gothic Type,Author-Frank,Gender-Frank,Title-Frank
,1,1805,Pure or high Gothic (terror mode),"Acton, Eugenia de",f,"THE NUNS OF THE DESERT: OR, THE WOODLAND WITCHES"
,2,1804,Gothic chapbook,unsigned,unknown,"THE AFFECTING HISTORY OF LOUISA, THE WANDERING MANIAC: OR, ""THE LADY OF THE HAY-STACK"""
,3,1803,Gothic chapbook (imitation of John Moore's ZELUCO),unsigned,unknown,"ALBANI: OR, THE MURDERER OF HIS CHILD, CONTAINING THE DIFFERENT VIEWS OF HIS CHARACTER, AS A LIBERTINE IN PALERMO, AN OFFICER IN THE SPANISH SERVICE, A PLANTER IN THE ISLAND OF CUBA, ETC"
,4,1817,Pure or high Gothic (Radcliffean imitation),unsigned,unknown,"ALEXENA: OR, THE CASTLE OF SANTA MARCO"
,5,1803,Chapbook or pulp gothic (monastic shocker),unsigned,unknown,"ALMAGRO AND CLAUDE: OR, MONASTIC MURDER EXEMPLIFIED IN THE DREADFUL DOOM OF AN UNFORTUNATE NUN"
,6,1789,Pure or high Gothic (some burlesque elements),"Andrews, Charles",m,THE SPECTRE
,7,1798,Pure or high Gothic (horror mode),unsigned,unknown,THE ANIMATED SKELETON
,8,1788,Pure or high Gothic (terror mode with elements of pseudo-history),unsigned,unknown,THE APPARITION
,9,1806,Gothified history,"Armstrong, Leslie",m,"THE ANGLO-SAXONS: OR, THE COURT OF ETHELWULPH. A ROMANCE"
,10,1795,Gothified history,unsigned,unknown,ATVILLE CASTLE: AN HISTORICAL ROMANCE
,11,1793,"Pure or high Gothic (Radcliffean imitation, terror mode)",unsigned,unknown,ASHTON PRIORY
,12,1818,Gothic Parody (caricature of various heroines),"Austen, Jane",f,NORTHANGER ABBEY
,13,1796,Pure or high Gothic (terror mode),unsigned,unknown,AUSTENBURN CASTLE
,14,1810,Chapbook Gothic (short Schauerroman),unsigned,unknown,"THE AVENGER: OR, SICILIAN VESPERS, A ROMANCE OF THE THIRTEENTH CENTURY, NOT INAPPLICABLE TO THE NINETEENTH"
,15,1792,Marginal Gothic (polemical fiction),"Bage, Robert",m,MAN AS HE IS
,16,1796,"Marginal Gothic (didactic, philosophical fiction)","Bage, Robert",m,"HERMSPRONG: OR, MAN AS HE IS NOT"
1,17,1819,Gothic Rauberroman (elements of the monastic shocker),"Ball, Edward",m,THE BLACK ROBBER. A ROMANCE
,18,1790,Gothified history (terror mode),"Ballin, Rossetta",f,THE STATUE ROOM: AN HISTORICAL ROMANCE
,19,1818,Gothic Rauberroman (elements of Radcliffean scenery),unsigned,unknown,"THE BANDIT CHIEF: OR, THE LORDS OF URVINO"
,20,1812,Serialized Gothic (sentimental and terror modes),unsigned,unknown,"THE BANDITTI OF THE FOREST: OR, THE MYSTERIOUS DAGGER. LADY'S MONTHLY MUSEUM, OR POLITE REPOSITORY OF AMUSEMENT AND INSTRUCTION"
2,21,1792,Pure or high Gothic (horror-terror modes),"Barbauld, Anna Laetitia",f,"""SIR BERTRAND. A FRAGMENT"""
,22,1803,Pure or high Gothic (reworked from French sentimental fiction),"Barnby, Mrs.",f,"KERWALD CASTLE: OR, THE MEMOIRS OF THE MARQUIS DE SOLANGES"
,23,1806,Pure or high Gothic (terror mode),unsigned,unknown,BARON DE FALKENHEIM: A TALE
,24,1803,Gothic Chapbook,"Barrett, C.F.",unknown,"DOUGLAS CASTLE: OR, THE CELL OF MYSTERY, A SCOTTISH TALE"
,25,1803,Gothic Chapbook (shilling shocker qualities),"Barrett, C.F.",unknown,"THE ROUND TOWER: OR, THE MYSTERIOUS WITNESS, AN IRISH LEGENDARY TALE OF THE SIXTH CENTURY"
,26,1813,Gothic Parody,"Barrett, Eaton Stannard",m,"THE HEROINE: OR, THE ADVENTURES OF A FAIR ROMANCE READER"
,27,1803,Gothic Chapbook (monastic shocker variety),"Barrington, George",m,"ELIZA: OR, THE UNHAPPY NUN"
,28,1810,Domestic Gothic,"Beauclerc, Amelia",f,"EVA OF CAMBRIA: OR, THE FUGITIVE DAUGHTER"
,29,1812,Sentimental Gothic,"Beauclerc, Amelia",f,"THE CASTLE OF TARIFFA: OR, THE SELF-BANISHED MAN"
3,30,1786,Orientalized Gothic fantasy,"Beckford, William",m,"VATHEK: AN ARABIAN TALE FROM AN UNPUBLISHED MANUSCRIPT, WITH NOTES CRITICAL AND EXPLANATORY"
,31,1912,Orientalized Gothic fantasy,"Beckford, William",m,THE EPISODES OF VATHEK
,32,1794,Sentimental Gothic,"Bennett, Agnes Maria",f,"ELLEN, COUNTESS OF CASTLE HOWEL"
,33,1806,Pure or high Gothic (intermittent didactic elements),"Bennett, Agnes Maria",f,"VICISSITUDES ABROAD: OR, THE GHOST OF MY FATHER"
,34,1795,Pure or high Gothic (fusion of terror and horror),"Bird, John",m,THE CASTLE OF HARDAYNE
,35,1819,Pure or high Gothic (horror mode),unsigned,unknown,"THE BLACK CONVENT: OR, A TALE OF FEUDAL TIMES"
,36,1803,Gothic Chapbook (shilling shocker qualities),unsigned,unknown,"THE BLACK VALLEY: OR, THE CASTLE OF ROSENBERG"
4,37,n.d.,Gothic chapbook,unsigned,unknown,"THE BLOODY HAND, OR, THE FATAL CUP. A TALE OF HORROR!"
5,38,1826,Gothified History (terror mode),"Bolen, C. A.",unknown,"THE MYSTERIOUS MONK, OR, THE WIZARD'S TOWER"
6,39,1796,Pure or high Gothic (terror mode),"Bonhote, Elizabeth",f,BUNGAY CASTLE. A NOVEL
,40,1808,Pure or high Gothic (moralized mystery fiction),"Bounden, Joseph",m,"THE MURDERER: OR, THE FALL OF LECAS"
10,41,1808,Pure or high Gothic (terror mode),"Brewer, George",m,THE WITCH OF RAVENSWORTH. A ROMANCE
9,42,1799,Gothified History,"Brewer, James Norris",m,A WINTER'S TALE
,43,1803,Pure or high Gothic (terror mode),"Bromley, Elizabeth Nugent",f,THE CAVE OF COSENZA: A ROMANCE OF THE EIGHTEENTH CENTURY
11,44,1819,Sentimental Gothic,"Brown, Elizabeth Cullen",f,THE SISTERS OF ST. GOTHARD. A TALE
12,45,1802,Philosophical Gothic (domestic elements),"Brydges, Sir Samuel Egerton",m,LE FORESTER. A NOVEL
,46,1796,Sentimental Gothic (imitation of Charlotte Smith),"Burke, Ann",f,"THE SORROWS OF EDITH: OR, THE HERMITAGE OF THE CLIFFS"
,47,1805,Grotto Gothic (terror mode),"Burke, Ann",f,THE SECRET OF THE CAVERN
,48,1806,Pure or high Gothic (horror mode),"Carey, David",m,THE SECRETS OF THE CASTLE
16,49,1797,Pure or high Gothic (terror mode),"Carver, Mrs.",f,THE HORRORS OF OAKENDALE ABBEY
,50,1800,Pure or high Gothic (horror mode),unsigned,unknown,"THE CASTLE DE WARRENNE: A ROMANCE. LADY'S MONTHLY MUSEUM, OR POLITE REPOSITORY OF AMUSEMENT AND INSTRUCTION"
,51,1798,"Gothified history, imitation of Reeve's OLD ENGLISH BARON)",unsigned,unknown,"THE CASTLE OF BEESTON: OR, RANDOLPH, EARL OF CHESTER, AN HISTORICAL ROMANCE"
,52,1804,Pure or high Gothic (terror-horror modes),unsigned,unknown,"THE CASTLE OF MONTALBERT: OR, THE FATAL PREDICTION. TELL-TALE: OR, UNIVERSAL MUSEUM, CONSISTING OF A SERIES OF INTERESTING ADVENTURES, VOYAGES, HISTORIES, LIVES, TALES, AND ROMANCES"
,53,1805,"Pure or high Gothic (terror mode, revival of Udolphoesque Gothic)",unsigned,unknown,THE CASTLE OF SANTA FE
,54,n.d.,Gothic chapbook (uses Reeve's OLD ENGLISH BARON as principal source),unsigned,unknown,THE CASTLE OF ST. GERALD
,55,1792,Gothified history (imitation of OTRANTO),unsigned,unknown,THE CASTLE OF ST. VALLERY: AN ANCIENT STORY
,56,1819,Pure or high Gothic (sham translation),unsigned,unknown,"THE CASTLE OF VILLA-FLORA: A PORTUGUESES TALE, FROM A MANUSCRIPT LATELY FOUND BY A BRITISH OFFICER OF RANK IN AN OLD MANSION IN PORTUGAL"
,57,1799,Gothic chapbook (prominent Radcliffean elements),unsigned,unknown,"THE CASTLES OF MONTREUIL AND BARRE: OR, THE HISTORIES OF THE MARQUIS LE BRUN AND THE BARON LA MARCHE, THE LATE INHABITORS AND PROPRIETORS OF THE TWO CASTLES. A GOTHIC STORY"
,58,1794,Pure or high Gothic (terror mode),unsigned,unknown,THE CAVERN OF DEATH: A MORAL TALE
17,59,1802,Gothic chapbook,unsigned,unknown,"THE CAVERN OF HORRORS, OR, MISERIES OF MIRANDA. A NEAPOLITAN TALE"
,60,n.d.,Gothic chapbook (Rauberromantik elements),"Chamberlain, Frederick",m,"LUCRETIA: OR, THE ROBBERS OF THE HYRCANEAN FOREST"
,61,1813,Serialized Gothic history (terror mode),unsigned,unknown,THE CHAPEL OF ST. BENEDICT: A ROMANCE OF THE FIFTEENTH CENTURY
,62,1805,Monastic shocker,"Chapman, M.",unknown,"MARLETON ABBEY: OR, THE MYSTIC TOMB OF ST. ANGELO"
,63,1798,Pure or high Gothic (terror-horror modes),"Charlton, Mary",f,"PHEDORA: OR, THE FOREST OF MINSKI"
,64,1799,"Pure or high Gothic (terror mode, many satiric elements)","Charlton, Mary",f,"ROSELLA: OR, MODERN OCCURRENCES"
,65,1805,Pure or high Gothic (terror mode),"Charlton, Mary",f,THE HOMICIDE
,66,1800,Pure or high Gothic (terror mode),"Chilcot, Harriet",f,"MORETON ABBEY: OR, THE FATAL MYSTERY. A POSTHUMOUS ROMANCE"
,67,n.d.,Gothic chapbook (sentimental Gothic abridgement),unsigned,unknown,"CLAIRVILLE CASTLE: OR, THE HISTORY OF ALBERT AND EMMA"
,68,1804,Pure or high Gothic (romance of the ruin),"Clifford, Francis",m,THE RUINS OF TIVOLI: A ROMANCE
,69,1809,Gothic chapbook,unsigned,unknown,"THE CONVENT OF ST. URSULA: OR, INCIDENTS AT OTTAGRO"
,70,1808,Gothic chapbook,unsigned,unknown,"THE CONVENT SPECTRE: OR, THE UNFORTUNATE DAUGHTER"
,71,1802,Pure or high Gothic (terror mode),unsigned,unknown,"CORRELIA: OR, THE MYSTIC TOMB"
18,72,1794,Pure or high Gothic (horror mode),unsigned,unknown,"COUNT RODERIC'S CASTLE, OR, GOTHIC TIMES. A TALE"
,73,1810,Pure or high Gothic (terror mode),"Cowley, Hannah Parkhouse",f,THE ITALIAN MARAUDERS
,74,1800,Gothified history,"Craik, Helen",f,"HENRY OF NORTHUMBERLAND: OR, THE HERMIT'S CELL, A TALE OF THE FIFTEENTH CENTURY"
,75,1811,Pure or high Gothic (terror mode),"Crandolph, Augustus",m,"THE MYSTERIOUS HAND: OR, SUBTERRANEAN HORROURS, A ROMANCE"
,76,1800,Gothified history (combines didactic and horrific elements),"Crofits, Mrs.",f,ANKERWICK CASTLE: A NOVEL
19,77,1828,Gothified History (Wandering Jew legend),"Croly, George",m,"SALATHIEL. A STORY OF THE PAST, THE PRESENT, AND THE FUTURE"
,78,1803,Gothic chapbook (imitation of THE CASTLE OF OTRANTO),unsigned,unknown,"CRONSTADT CASTLE: OR, THE MYSTERIOUS VISITOR"
27,79,1804,Gothic chapbook,"Crookenden, Isaac",m,"STORY OF MORELLA DE ALTO, OR, THE CRIMES OF SCORPINO DEVELOPED"
25,80,1805,Gothic chapbook,"Crookenden, Isaac",m,"THE SKELETON, OR, MYSTERIOUS DISCOVERY. A GOTHIC ROMANCE"
20,81,1806,Gothic chapbook,"Crookenden, Isaac",m,"FATAL SECRETS, OR, ETHERLINDA DE SALMONI. A SICILIAN STORY"
23,82,1806,Gothic chapbook,"Crookenden, Isaac",m,"THE MYSTERIOUS MURDER, OR, THE USURPER OF NAPLES. AN ORIGINAL ROMANCE. TO WHICH IS PREFIXED THE NOCTURNAL ASSASSIN, OR, SPANISH JEALOUSY"
21,83,1808,Gothic chapbook,"Crookenden, Isaac",m,"HORRIBLE REVENGE, OR, THE MONSTER OF ITALY!! With HORRIBLE REVENGE is bound HOPELESS LOVE. AN INTERESTING TALE"
22,84,1811,Gothic chapbook,"Crookenden, Isaac",m,"THE ITALIAN BANDITTI, OR, THE SECRET HISTORY OF HENRY AND MATILDA. A ROMANCE."
26,85,n.d.,Gothic chapbook (Shauerromantik elements),"Crookenden, Isaac",m,"SPECTRE OF THE TURRET, OR, GUOLTO CASTLE. A ROMANCE"
28,86,1794,Pure or high Gothic (terror mode),"Cullen, Stephen",m,"THE HAUNTED PRIORY, OR, THE FORTUNES OF THE HOUSE OF RAYO. A ROMANCE FOUNDED PARTLY ON HISTORICAL FACT"
,87,1796,Pure or high Gothic (horror mode),"Cullen, Stephen",m,THE CASTLE OF INCHVALLY: A TALE ALAS! TOO TRUE
30,88,1799,Pure or high Gothic (horror-terror modes),"Curties, T. J. Horsley (Thomas Isaac)",m,"ETHELWINA, OR, THE HOUSE OF FITZ-AUBURNE. A ROMANCE OF FORMER TIMES"
29,89,1801,Pure or high Gothic (terror mode),"Curties, T. J. Horsley (Thomas Isaac)",m,"ANCIENT RECORDS, OR, THE ABBEY OF SAINT OSWYTHE. A ROMANCE"
33,90,1804,Gothified history (terror mode),"Curties, T. J. Horsley (Thomas Isaac)",m,"THE WATCH TOWER, OR, THE SONS OF ULTHONA. AN HISTORICAL ROMANCE"
32,91,1806,Pure or high Gothic (terror mode),"Curties, T. J. Horsley (Thomas Isaac)",m,"ST. BOLTOPH'S PRIORY, OR, THE SABLE MASK. AN HISTORICAL ROMANCE"
31,92,1807,Pure or high Gothic (terror mode),"Curties, T. J. Horsley (Thomas Isaac)",m,THE MONK OF UDOLPHO
,93,1810,Pure or high Gothic (terror mode),"Curties, T. J. Horsley (Thomas Isaac)",m,THE RUINS OF THE ABBEY OF FITZ-MARTIN
,94,1812,Pure or high Gothic (terror mode),"Curtis, Julia Ann Kemble",f,"SICILIAN MYSTERIES: OR, THE FORTRESS DEL VECHII"
,95,1815,Pure or high Gothic (terror mode),"Curtis, Julia Ann Kemble",f,"THE SECRET AVENGERS: OR, THE ROCK OF GLOTZDEN"
,96,1819,Pure or high Gothic (horror mode),"Curtis, Julia Ann Kemble",f,"CESARIO ROSALBA: OR, THE OATH OF VENGEANCE. A ROMANCE"
,97,1806,Sentimental and Domestic Gothic,"Cuthbertson, Catherine",f,"SANTO SEBASTIANO: OR, THE YOUNG PROTECTOR"
,98,1810,"Pure or high Gothic (terror mode, imitation of Mr. Radcliffe’s THE ITALIAN)","Cuthbertson, Catherine",f,THE FOREST OF MONTALBANO
,99,1823,"Picaresque-Sentimental Fiction (a few Gothic characters, episodes, and locations)","Cuthbertson, Catherine",f,THE HUT AND THE CASTLE
34,100,1830,Domestic fiction (counterfeit Gothified History),"Cuthbertson, Catherine",f,"SIR ETHELBERT, OR, THE DISSOLUTION OF THE MONASTERIES. A ROMANCE"
35,101,1805,Sentimental Gothic (didactic elements),"Dacre, Charlotte",f,CONFESSIONS OF THE NUN OF ST. OMER. A TALE
38,102,1806,Pure or high Gothic (terror-horror modes),"Dacre, Charlotte",f,"ZOFLOYA, OR, THE MOOR. A ROMANCE OF THE FIFTEENTH CENTURY"
36,103,1807,Sentimental Gothic (terror mode),"Dacre, Charlotte",f,THE LIBERTINE
37,104,1811,Sentimental Gothic (terror mode),"Dacre, Charlotte",f,THE PASSIONS
,105,1808,Gothified history (pseudo medieval romances),"Dallas, Robert Charles",m,THE KNIGHTS: TALES ILLUSTRATIVE OF THE MARVELLOUS
39,106,1810,Sentimental Gothic (terror mode),"Dallas, Robert Charles",m,"SIR FRANCIS DARRELL, OR, THE VORTEX. A NOVEL"
40,107,1818,Domestic Gothic (terror mode),"Davenport, Selina",f,AN ANGEL'S FORM AND A DEVIL'S HEART
41,108,1828,Domestic Gothic (didactic elements),"Davenport, Selina",f,ITALIAN VENGEANCE AND ENGLISH FORBEARANCE. A ROMANCE
,109,1803,Gothic chapbook,unsigned,unknown,"DE LA MARK AND CONSTANTIA: OR, ANCIENT HEROISM, A GOTHIC TALE"
,110,1806,Pure or high Gothic (terror mode),unsigned,unknown,"DELLINGBOROUGH CASTLE: OR, THE MYSTERIOUS RECLUSE"
42,111,1832,"Pure or high Gothic (terror mode, Gothified history)","DeQuincey, Thomas",m,"KLOSTERHEIM, OR, THE MASQUE"
,112,1812,Pure or high Gothic (terror mode),"Doherty, Ann",f,THE CASTLES OF WOLFNORTH AND MONTEAGLE
,113,1815,Gothified history,"Doherty, Ann",f,THE KNIGHT OF THE GLEN: AN IRISH ROMANCE
,114,1802,Gothic chapbook (shilling shocker),unsigned,unknown,"DON ALGONAH: OR, THE SORCERESS OF MONTILLO"
,115,1803,"Pure or high Gothic (horror mode, bluebook)",unsigned,unknown,"DON SANCHO: OR, THE MONK OF HENNARES, A SPANISH ROMANCE"
43,116,1804,"Gothic anthology (essays on Gothic theory, fragments, Gothic prose and verse)","Drake, Nathan",m,"LITERARY HOURS, OR SKETCHES CRITICAL, NARRATIVE, AND POETICAL"
,117,1804,Pure or high Gothic (terror mode),unsigned,unknown,"DURSTON CASTLE: OR, THE GHOST OF ELEONORA, A GOTHIC STORY"
,118,1801,Gothic chapbook,unsigned,unknown,"EDMUND AND ALBINA: OR, GOTHIC TIMES"
44,119,1825,Gothified history (sentimental and terror modes),"Eldridge, Rebecca",f,"THE HIGHEST CASTLE AND THE LOWEST CAVE, OR, EVENTS OF THE DAYS WHICH ARE GONE"
,120,1800,Pure or high Gothic (terror mode),"Elson, Jane",f,ROMANCE OF THE CASTLE
,121,1792,Pure or high Gothic (terror mode),unsigned,unknown,"EMILY: OR, THE FATAL PROMISE, A NORTHERN TALE"
,122,1810,Pure or high Gothic (didactic elements),"English, John",m,THE GREY FRIAR AND THE BLACK SPIRIT OF THE WYE
,123,1807,Serialized Gothic novella (terror and sentimental modes),E. F.,unknown,THE CAVE OF ST. SIDWELL: A ROMANCE
45,124,1810,Gothic chapbook (based on THE MONK),"Lathom, Francis",m,"FATAL VOWS, OR, THE FALSE MONK. A ROMANCE"
,125,1803,Gothic novelette (based on THE MONK),unsigned,unknown,"FATHER INNOCENT, ABBOT OF CAPUCHINS: OR, THE CRIMES OF THE CLOISTERS"
,126,1810,Pure or high Gothic (based on Radcliffe’s ROMANCE OF THE FOREST),unsigned,unknown,FAULCONSTEIN FOREST: A ROMANTIC TALE
,127,1795,Sentimental Gothic (romance of the ruin),"Fenwick, Eliza",f,"SECRESY: OR, THE RUIN ON THE ROCK"
,128,1796,Domestic Gothic,"Fitz John, Matilda",f,JOAN!!!
46,129,1824,Pure or high Gothic (terror mode),"Fletcher, Grenville",m,"ROSALVIVA, OR, THE DEMON DWARF. A ROMANCE"
,130,1803,Pure or high Gothic (terror-horror modes),unsigned,unknown,THE FOREST OF HOHENHELBE: A TALE
,131,1791,Gothified history (terror mode),"Fox, Joseph, Jr.",m,TANCRED: A TALE OF ANCIENT TIMES
47,132,1797,Pure or high Gothic (horror mode),"Fox, Joseph, Jr.",m,"SANTA-MARIA, OR, THE MYSTERIOUS PREGNANCY. A ROMANCE"
,133,1806,Pure or high Gothic (terror mode),"Frances, Sophia L",f,"VIVONIO: OR, THE HOUR OF RETRIBUTON"
,134,1807,Pure or high Gothic (terror mode),"Frances, Sophia L",f,"THE NUN OF MISERICORDIA: OR, THE EVE OF ALL SAINTS"
,135,1786,Gothified history,"Fuller, Anne",f,ALAN FITZ-OSBORNE: AN HISTORICAL TALE
,136,1790,Gothified history,unsigned,unknown,GABRIELLE DE VERGY: AN HISTORICAL TALE
,137,1803,Pure or high Gothic (terror mode),unsigned,unknown,THE GHOST OF HARCOURT: A ROMANCE
,138,1828,Gothic chapbook (Raüberroman),unsigned,unknown,GLENWAR: THE SCOTTISH BANDIT
51,139,1794,Contemporized Gothic (didactic and polemical elements),"Godwin, William",m,"THINGS AS THEY ARE, OR, THE ADVENTURES OF CALEB WILLIAMS"
50,140,1799,Gothified history (didactic elements),"Godwin, William",m,ST. LEON. A TALE OF THE SIXTEENTH CENTURY
,141,1804,Gothic bluebook,unsigned,unknown,"THE GOTHIC STORY OF COURVILLE CASTLE: OR, THE ILLEGITIMATE SON, A VICTIM OF PREJUDICE AND PASSION"
,142,1810,Pure or high Gothic (elements of THE MONK),"Green, Sarah",f,THE FESTICAL OF ST. JAGO: A SPANISH ROMANCE
,143,1811,Gothified history (echoes of Sophia Lee’s THE RECESS),"Green, Sarah",f,"THE ROYAL EXILE: OR, VICTIMS OF HUMAN PASSIONS"
52,144,1813,Domestic Gothic (various Richardsonian features),"Green, Sarah",f,DECEPTION
,145,1814,Pure or high Gothic (combined imitation of THE ITALIAN and Ireland’s ABBESS),"Green, Sarah",f,"THE CARTHUSIAN FRIAR: OR, THE MYSTERIES OF MONTANVILLE"
53,146,1826,Pure or high Gothic (terror mode),"Green, William Child",m,"ABBOT OF MONTSERRAT, OR, THE POOL OF BLOOD. A ROMANCE"
55,147,1831,Gothic Quest legend (elements of MELMOTH THE WANDERER),"Green, William Child",m,ALIBEG THE TEMPTER. A TALE WILD AND WONDERFUL
54,148,1832,Orientalized Gothic,"Green, William Child",m,"THE ALGERINES, OR, THE TWINS OF NAPLES"
,149,1816,Gothic parody (reverberations of Barrett’s THE HEROINE),"Griffith, Sophia",f,SHE WOULD BE A HEROINE
,150,1799,Gothified history (Radcliffean imitation),"Grosett, Emilia",f,"THE SPIRIT OF THE GROTTO: OR, THE CASTLE OF ST. GEORGE"
,151,n.d.,Gothic chapbook,"Grosett, Emilia",f,"THE MONASTERY OF ST. MARY: OR, THE WHITE MAID OF AVENEL"
58,152,1795,Roman noir (horror-terror elements),"Grosse, Karl",m,THE DAGGER
59,153,1796,Pure or high Gothic (Vehmgericht or secret Fehmic tribunal),"Grosse, Karl",m,HORRID MYSTERIES. A STORY
,154,1768,Sentimental fiction (emergent Gothic elements),"Gunning, Susan Minifie",f,BARFORD ABBEY: A NOVEL IN A SERIES OF LETTERS
,155,1795,Pure or high Gothic (terror mode),I. H.,unknown,"THE PHANTOMS OF THE CLOISTER: OR, THE MYSTERIOUS MANUSCRIPT"
,156,1820,Sorcerer Gothic (imitates Radcliffean Gothic),"Hales, J.M.H.",m,"THE ASTROLOGER: OR, THE EVE OF SAN SEBASTIAN"
60,157,1806,Mixed Gothic (domestic fiction becoming Gothic),"Hamilton, Ann Mary",f,THE FOREST OF ST. BERNARDO
61,158,1811,Mixed Gothic (domestic fiction becoming Gothic in horror mode),"Hamilton, Ann Mary",f,"MONTALVA, OR, ANNALS OF GUILT"
,159,1817,Comic Gothic,unsigned,unknown,"HARDENBRASS AND HAVERILL: OR, THE SECRET OF THE CASTLE"
62,160,1789,Gothified history (terror mode),"Harley, Mrs.",f,PRIORY OF ST. BERNARD. AN OLD ENGLISH TALE
,161,1788,Pure or high Gothic (terror mode),"Harley, Mrs.",f,THE CASTLE OF MOWBRAY: AN ENGLISH ROMANCE
,162,1794,Gothified History,unsigned,unknown,HARTLEBOURN CASTLE: A DESCRIPTIVE ENGLISH TALE
,163,1802,"Pure or high Gothic (terror mode, Radcliffean imitation)","Harvey, Jane",f,MINERVA CASTLE
,164,1802,"Pure or high Gothic (terror mode, Radcliffean imitation)","Harvey, Jane",f,WARKFIELD CASTLE
,165,1806,"Pure or high Gothic (terror mode, Radcliffean imitation)","Harvey, Jane",f,THE CASTLE OF TYNEMOUTH
,166,1810,Pure or high Gothic (terror mode),"Harwood, Caroline",f,"THE CASTLE OF VIVALDI: OR, THE MYSTERIOUS INJUNCTION"
,167,1802,Political Gothic and Grotto Gothic (sentimental elements),"Hasworth, H.H.",unknown,"THE LADY OF THE CAVE: OR, THE MYSTERIES OF THE FOURTEENTH CENTURY, AN HISTORICAL ROMANCE"
,168,1802,Sentimental Gothic (terror mode),unsigned,unknown,"HATRED: OR, THE VINDICTIVE FATHER, A TALE OF SORROW"
,169,1819,Monastic shocker (sentimentalized and moderated terrors),"Haynes, Miss C.D.",f,"AUGUSTUS AND ADELINA: OR, THE MONK OF ST. BARNADINE"
,170,1821,Pure or high Gothic (Radcliffean revival),"Haynes, Miss C.D.",f,"ELEANOR: OR, THE SPECTRE OF ST. MICHAELS, A ROMANTIC TALE"
,171,1827,Romance of the Ruin (terror mode),"Haynes, Miss C.D.",f,THE RUINS OF RUTHVALE ABBEY
,172,1814,"Pure or high Gothic (terror mode, Radcliffean imitation)","Haynes, D.F.",m,"PIERRE AND ADELINE: OR, THE ROMANCE OF THE CASTLE"
