Tracy No.,Frank No.,Year-Frank,Full Gothic Type,Author-Frank,Gender-Frank,Title-Frank
64,173,1796,Sentimental fiction (Radcliffean terror elements),"Helme, Elizabeth",f,THE FARMER OF INGLEWOOD FOREST
65,174,1801,Gothified history (Radcliffean imitation),"Helme, Elizabeth",f,"ST. MARGARET'S CAVE, OR, THE NUN'S STORY. AN ANCIENT LEGEND"
,175,1805,Tower Gothic (terror mode with elements of the Räuberroman),"Hernon, G.D.",unknown,"LOUISA: OR, THE BLACK TOWER"
,176,1814,Gothified History (horror-terror modes),"Hitchener, William Henry",m,"THE TOWERS OF RAVENSWOLD: OR, THE DAYS OF IRONSIDE"
67,177,1822,Gothified History (a witchcraft segment),"Hogg, James",m,"THE THREE PERILS OF MAN, OR, WAR, WOMEN, AND WITCHCRAFT. A BORDER ROMANCE"
66,178,1824,Doppleganger or Double Story (terror-horror modes),"Hogg, James",m,THE PRIVATE MEMOIRS AND CONFESSIONS OF A JUSTIFIED SINNER
68,179,1792,Novel of Seduction and Radical Ideas (terror elements),"Holcroft, Thomas",m,ANNA ST. IVES. A NOVEL
69,180,1820,Gothified history (natural horror),"Holford, Margaret",f,WARBECK OF WOLFSTEÏN
,181,1810,Pure or high Gothic (horror-terror modes),"Holstein, Anthony Frederick",m,"LOVE, MYSTERY, AND MISERY!"
,182,1810,Pure or high Gothic (domestic elements),"Holstein, Anthony Frederick",m,"THE ASSASSIN OF ST. GLENROY: OR, THE AXIS OF LIFE"
,183,1804,Gothic chapbook (Radcliffean imitation with some Lewisite horror),unsigned,unknown,"HORATIO AND CAMILLA: OR, THE NUNS OF ST. MARY"
,184,1828,Gothic chapbook,unsigned,unknown,"THE HORRIBLE REVENGE: OR, THE ASSASSIN OF THE SOLITARY CASTLE"
,185,1807,Gothic chapbook,unsigned,unknown,THE HORRORS OF THE SECLUDED CASTLE
,186,1810,Sentimental Gothic (imitation of Mrs. Radcliffe’s ROMANCE OF THE FOREST),"Houghton, Mary",f,THE MYSTERIES OF THE FOREST
,187,1797,Sentimental Gothic (imitation of Smith’s OLD MANOR HOUSE),unsigned,unknown,THE HOUSE OF MARLEY
70,189,1820,Pure or high Gothic (no supernatural elements),"Huish, Robert",m,"THE BROTHERS, OR, THE CASTLE OF NIOLO"
72,190,1828,Documentary Gothic (natural horror based on an actual incident),"Huish, Robert",m,"THE RED BARN. A TALE, FOUNDED ON FACT"
71,191,1832,Domestic Gothic (terror elements),"Huish, Robert",m,FITZALLEN
,192,1800,Pure or high Gothic (Radcliffean imitation),unsigned,unknown,"HUMBERT CASTLE: OR, THE ROMANCE OF THE RHONE"
,193,1809,Gothified history (terror mode),"Hunt, Rev. J.P.",m,"THE IRON MASK: OR, THE ADVENTURES OF A FATHER AND SON"
,194,1801,Domestic fiction,"Hunter, Rachel",f,"LETITIA: OR, THE CASTLE WITHOUT A SPECTRE"
73,195,1805,Domestic Gothic,unsigned,unknown,THE IDIOT HEIRESS. A NOVEL
,196,1803,Gothic chapbook (horror-terror modes),unsigned,unknown,"ILDEFONZO AND ALBERONI: OR, TALES OF HORROR"
,197,1815,Gothic parody,Ircastrensis,unknown,LOVE AND HORROR: AN IMITATION FOR THE PRESENT AND A MODEL FOR ALL FUTURE ROMANCES
74,198,1799,Pure or high Gothic (monastic shocker in horror-terror modes; imitation of THE MONK),"Ireland, William Henry",m,THE ABBESS. A ROMANCE
76,199,1800,Pure or high Gothic (terror mode),"Ireland, William Henry",m,"RIMAULDO, OR, THE CASTLE OF BADAJOS"
,200,1804,Pure or high Gothic (Schauerromantik tendencies),"Ireland, William Henry",m,"BRUNO: OR, THE SEPULCHRAL SUMMONS"
75,201,1805,Pure or high Gothic/Gothified history (horror-terror modes),"Ireland, William Henry",m,"GONDEZ, THE MONK. A ROMANCE OF THE THIRTEENTH CENTURY"
,202,1807,Monastic Schocker (pseudo-historical title),"Ireland, William Henry",m,"THE CATHOLIC: OR, ARTS AND DEEDS OF THE POPISH CHURCH, A TASTE OF ENGLISH HISTORY"
77,203,1801,Sentimentalized and naturalized Gothic (Radcliffean methods and props),"Isaacs, Mrs.",f,"ARIEL, OR, THE INVISIBLE MONITOR"
,204,1805,Sentimentalized terror Gothic (Radcliffean imitation),"Isaacs, Mrs.",f,"GLENMORE ABBEY: OR, THE LADY OF THE ROCK"
,205,1794,Combined Monastic Shocker and Roman Noir (terror mode),unsigned,unknown,"IVEY CASTLE: CONTAINING INTERESTING MEMOIRS OF TWO LADIES, LATE NUNS IN A FRENCH ABOLISHED CONVENT"
78,206,1822,Gothified history (naturalized terror),"Jamieson, Frances",f,THE HOUSE OF RAVENSPUR. A ROMANCE
,207,1809,Pure or high Gothic (all modes),"Jones, Harriet",f,"THE FAMILY OF SANTRAILE: OR, THE HEIR OF MONTAULT"
,208,1799,Serialized Gothic nouvella (aborted),Juvenis,unknown,THE CASTLE ON THE CLIFT
79,209,1794,Pure or high Gothic (Schauerromantik elements),"Kahlert, Karl Friedrich",m,"THE NECROMANCER, OR, THE TALE OF THE BLACK FOREST"
81,210,1794,"Domestic Gothic (more domestic than Gothic, a few terror elements)","Kelly, Isabella",f,"MADELINE, OR, THE CASTLE OF MONTGOMERY. A NOVEL"
80,211,1795,Pure or high Gothic (in the novel's maiden-centered episodes),"Kelly, Isabella",f,THE ABBEY OF SAINT ASAPH. A NOVEL
,212,1796,Romance of the Ruin (terror mode),"Kelly, Isabella",f,THE RUINS OF AVONDALE PRIORY
,213,1801,Sentimental Gothic (elements of THE MONK and THE MYSTERIES OF UDOLPHO),"Kelly, Isabella",f,"RUTHINGLENNE: OR, THE CRITICAL MOMENT"
,214,1802,Pure or high Gothic (horror mode),"Kelly, Isabella",f,THE BARON’S DAUGHTER: A GOTHIC ROMANCE
,215,1799,Gothified history (family saga),"Kendall, A.",unknown,"THE CASTLE ON THE ROCK: OR, THE MEMOIRS OF THE ELDERLAND FAMILY"
,216,1799,Gothified history (terror mode),"Ker, Ann",f,"THE HEIRESS OF MONTALDE: OR, THE CASTLE OF BEZANTO"
,217,1800,Pure or high Gothic/Monastic shocker (terror mode with sentimental elements),"Ker, Ann",f,"ADELINE ST. JULIAN: OR, THE MIDNIGHT HOUR"
,218,1817,Gothified history (terror mode),"Ker, Ann",f,"EDRIC THE FORESTER: OR, THE MYSTERIES OF THE HAUNTED CHAMBER"
,219,1791,Gothified history (terror elements),unsigned,unknown,LADY JANE GREY: AN HISTORICAL TALE
83,220,1816,Gothic roman a clef (terror mode),"Lamb, Caroline",f,GLENARVON
82,221,1823,Orientalized Gothic/roman a clef,"Lamb, Caroline",f,ADA REIS. A TALE
,223,1816,Sentimentalized Gothic (toned-down monastic shocker),"Lancaster, Agnes",f,"THE ABBESS OF VALTIERA: OR, THE SORROWS OF A FALSEHOOD"
,224,1796,Pure or high Gothic (terror mode),"Lansdell, Sarah",f,"MANFREDI, BARON ST. OSMUND: AN OLD ENGLISH ROMANCE"
,225,1798,Turret Gothic (terror mode and Radcliffean procedures),"Lansdell, Sarah",f,"THE TOWER: OR, THE ROMANCE OF RUTHYNE"
,226,1795,Pure or high Gothic (horror mode),"Lathom, Francis",m,THE CASTLE OF OLLADA
87,227,1798,Pure or high Gothic (the supernatural acoustic),"Lathom, Francis",m,"THE MIDNIGHT BELL. A GERMAN STORY, FOUNDED ON INCIDENTS IN REAL LIFE"
89,228,1800,Naturalized Gothic (domestic and sentimental elements),"Lathom, Francis",m,MYSTERY. A NOVEL
85,229,1802,"Pure or high Gothic (quest story, picaresque elements)","Lathom, Francis",m,ASTONISHMENT!!! A ROMANCE OF A CENTURY AGO
,230,1805,"Domestic Gothic (twin theme, Shakespearean names and situations)","Lathom, Francis",m,"THE IMPENETRABLE SECRET, FIND IT OUT!"
88,231,1806,Gothified history (terror mode),"Lathom, Francis",m,"THE MYSTERIOUS FREEBOOTER, OR, THE DAYS OF QUEEN BESS. A ROMANCE"
,232,1807,Gothified history (monastic shocker elements),"Lathom, Francis",m,"THE FATAL VOW: OR, ST. MICHAELS MONASTERY"
90,233,1808,Gothified history (terror mode),"Lathom, Francis",m,"THE UNKNOWN, OR, THE NORTHERN GALLERY. A ROMANCE"
86,234,1820,Pure or high Gothic,"Lathom, Francis",m,"ITALIAN MYSTERIES, OR, MORE SECRETS THAN ONE. A ROMANCE"
,235,1830,"Pure or high Gothic (terror mode, elements of Gothified history)","Lathom, Francis",m,"MYSTIC EVENTS: OR, THE VISION OF THE TAPESTRY, A ROMANTIC LEGEND OF THE DAYS OF ANNE BOLEYN"
,236,1805,Pure or high Gothic (domestic terror),"Lathy, Thomas Pike",m,USURPATION: OR THE INFLEXIBLE UNCLE
91,237,1806,Pure or high Gothic (Schauerromantik elements),"Lathy, Thomas Pike",m,"THE INVISIBLE ENEMY, OR, THE MINES OF WIELITSKA. A POLISH LEGENDARY ROMANCE"
,238,1820,Pure or high Gothic (composite imitation),"Layton, Mrs. Frederick",f,HULME ABBEY
,239,1797,Anthology in five volumes (tales have periodic Gothicism),"Lee, Harriet and Sophia",f,THE CANTERBURY TALES FOR THE YEAR 1797
92,240,1785,Gothified history (terror and sentimental elements),"Lee, Sophia",f,"THE RECESS, OR, A TALE OF OTHER TIMES"
93,241,1800,Gothic chapbook (Shauerromantik elements),"Legge, F.",unknown,"THE SPECTRE CHIEF, OR, THE BLOOD-STAINED BANNER. AN ANCIENT ROMANCE. With THE SPECTRE CHIEF is bound BARON FITZALLAN"
94,242,1797,Didactic and domestic novel (Gothic titling),"Leigh, Sir Samuel Egerton",m,"MUNSTER ABBEY. A ROMANCE, INTERSPERSED WITH REFLECTIONS ON VIRTUE AND MORALITY"
95,243,1762,"Gothified history (historical Gothic prototype, terror elements)","Leland, Thomas",m,"LONGSWORD, EARL OF SALISBURY. AN HISTORICAL ROMANCE"
99,244,1796,"Pure or high Gothic (horror, terror, and Schauerromantik modes, monastic shocker)","Lewis, Matthew",m,THE MONK. A ROMANCE
96,245,1805,Rauberroman (terror mode),"Lewis, Matthew",m,THE BRAVO OF VENICE
102,246,1807,Gothic chapbook (converted from Gothic drama),"Lewis, Matthew",m,"THE WOOD DAEMON, OR, ""THE CLOCK HAS STRUCK"""
100,247,1808,"Gothic anthology (terror, horror, and Schauerromantik modes represented with Germanic translations and imitations)","Lewis, Matthew",m,ROMANTIC TALES
,248,1804,Gothic chapbook,unsigned,unknown,"LEWIS TYRELL: OR, THE DEPRAVED COUNT, INCLUDING THE PATHETICK ADVENTURES AND TRAGICALL HISTORY OF ELLA CLIFFORD AND OSCAR HENRY HAMPDON, AN ENGLISH TALE OF THE FOURTEENTH CENTURY"
,249,1811,Pure or high Gothic (bluebook qualities),"Loney, T.C.",unknown,"SEBASTIAN AND ISABEL: OR, THE INVISIBLE SWORD"
,250,1818,Gothic bluebook (shilling shocker),unsigned,unknown,"LOVEL CASTLE: OR, THE RIGHTFUL HEIR RESTORED, A GOTHIC TALE"
,251,1798,"Marginal Gothic (intermittent terror episodes, picaresque and domestic elements)","Lucas, Charles",m,"THE CASTLE OF ST. DONATS: OR, THE HISTORY OF JACK SMITH"
104,252,1801,"Political and polemical Gothic (satiric and philosophic elements, attack on Godwin and Jacobin novelists)","Lucas, Charles",m,THE INFERNAL QUIXOTE. A TALE OF THE DAY
,253,1801,"Pure or high Gothic (terror mode, monastic shocker elements)",unsigned,unknown,"LUSIGNAN: OR, THE ABBAYE OF LA TRAPPE"
,254,1803,Pure or high Gothic (Schauerromantik elements),"Lyttleton, Mr.",m,THE GERMAN SORCERESS
105,255,1791,Gothified history (terror mode),"Mackenzie, Anna Maria",f,THE DANISH MASSACRE. AN HISTORICAL FACT
,256,1795,Gothified history (terror mode),"Mackenzie, Anna Maria",f,MYSTERIES ELUCIDATED
,257,1798,Pure or high Gothic (Schauerromantik elements),"Mackenzie, Anna Maria",f,"DUSSELDORF: OR, THE FRATRICIDE"
,258,1801,Pure or high Gothic (terror mode),"Mackenzie, Anna Maria",f,"SWEDISH MYSTERIES: OR, THE HERO OF THE MINES OF DELECARLIA"
106,259,1809,Domestic fiction (several Gothic elements and characters),"Mackenzie, Anna Maria",f,"THE IRISH GUARDIAN, OR, ERRORS OF ECCENTRICITY"
,260,1771,Sentimental fiction (settings and feelings appropriate to Gothic romance),"Mackenzie, Henry",m,THE MAN OF FEELING
,261,1777,Epistolary and domestic Gothic (emergent Gothic villain),"Mackenzie, Henry",m,JULIA DE ROUBIGNE
,262,1806,Sentimental Gothic (imitation of Mrs. Radcliffe and Charlotte Smith),"Manners, Mrs",f,"CASTLE NOUVIER: OR, HENRY AND ADELAIDE"
,263,1821,Pure or high Gothic,"Marshall, Thomas",m,"THE IRISH NECROMANCER: OR, DEER PARK"
,264,1807,Sentimental Gothic (imitation of Charlotte Smith’s novels),"Matthews, Charlotte",f,"GRIFFITH ABBEY: OR, THE MEMOIRS OF EUGENIA"
108,265,1807,Pure or high Gothic (terror-horror modes),"Maturin, Charles Robert",m,"FATAL REVENGE, OR, THE FAMILY OF MONTORIO. A ROMANCE"
111,266,1808,Domestic fiction (several touches of terror Gothicism),"Maturin, Charles Robert",m,THE WILD IRISH BOY
110,267,1812,"Pure or high Gothic (terror mode, revolutionary Irish politics)","Maturin, Charles Robert",m,THE MILESIAN CHIEF. A ROMANCE
109,268,1820,"Pure or high Gothic (actually, a composite of Gothic types)","Maturin, Charles Robert",m,MELMOTH THE WANDERER
107,269,1824,Gothified history (terror-horror modes),"Maturin, Charles Robert",m,THE ALBIGENSES. A ROMANCE
,270,1804,Gothic chapbook,unsigned,unknown,"MAXIMILIAN AND SELINA: OR, THE MYSTERIOUS ABBOT, A FLEMISH TALE"
,271,1795,Pure or high Gothic (Radcliffean imitation),"Meeke, Mary",f,THE ABBEY OF CLUGNY
112,272,1795,Domestic Gothic (search for the father),"Meeke, Mary",f,"COUNT ST. BLANCHARD, OR, THE PREJUDICED JUDGE. A NOVEL"
,273,1797,Domestic Gothic (genealogical puzzlements),"Meeke, Mary",f,THE MYSTERIOUS WIFE
,274,1798,Pure or high Gothic (Radcliffean imitation),"Meeke, Mary",f,THE SICILIAN
,275,1801,"Pure or high Gothic (mild terrors, genealogical pleasures)","Meeke, Mary",f,THE MYSTERIOUS HUSBAND
113,276,1802,"Pure or high Gothic (domestic elements, genealogical entanglements)","Meeke, Mary",f,MIDNIGHT WEDDINGS. A NOVEL
114,277,1808,Domestic fiction (intermittent Gothic elements),"Meeke, Mary",f,"""THERE IS A SECRET, FIND IT OUT!"""
,278,1809,Gothified history (Radcliffean effects),"Meeke, Mary",f,LAUGHTON PRIORY
115,279,1819,Domestic fiction (intermittent Gothic effects),"Meeke, Mary",f,"THE VEILED PROTECTRESS, OR, THE MYSTERIOUS MOTHER. A NOVEL"
,280,1802,"Pure or high Gothic (terror mode, chapbook quality)","Melville, Theodore",m,"THE WHITE KNIGHT: OR, THE MONASTERY OF THE MORNE"
,281,1807,"Pure or high Gothic (terror mode, imitation of Maturin’s THE FATAL REVENGE)","Melville, Theodore",m,"THE BENEVOLENT MONK: OR, THE CASTLE OF OLALLA"
,282,1802,Periodical Gothic thriller (chapbook quality),unsigned,unknown,"THE MIDNIGHT ASSASSIN: OR, THE CONFESSIONS OF THE MONK RINALDI"
116,283,1808,Gothic bluebook (variable plagiarism from many Gothics),unsigned,unknown,"THE MIDNIGHT GROAN: OR, THE SPECTRE OF THE CHAPEL"
,284,n.d.,Gothic chapbook (compilation of cases involving spectral appearances),unsigned,unknown,"THE MIDNIGHT MONITOR: OR, SOLEMN WARNINGS FROM THE INVISIBLE WORLD"
,285,1805,Gothified history (terror mode),"Millikin, Anna",f,"THE RIVAL CHIEFS: OR, THE BATTLE OF THE MERE"
,286,1817,Gothic bluebook (imitation of chapbook reductions of THE MONK),unsigned,unknown,THE MONK OF HENNARES
,287,1800,Gothified translation (from a French romance by Charles-Antoine-Guilaume Pigault-Lebrun (1753-1835),unsigned,unknown,"THE MONK OF THE GROTTO: OR, EUGENIO AND VIRGINIA"
,288,1807,Gothic chapbook,unsigned,unknown,"THE MONKS OF CLUGNY: OR, CASTLE-ACRE MONASTERY"
,289,1806,Pure or high Gothic (terror mode),"Montague, Edward",m,THE CASTLE OF BERRY-POMEROY
,290,1807,Pure or high Gothic (elements of the monastic shocker and Ireland’s THE ABBESS),"Montague, Edward",m,LEGENDS OF A NUNNERY: A ROMANTIC LEGEND
117,291,1807,"Pure or high Gothic (monastic shocker, excessive natural and supernatural horror)","Montague, Edward",m,THE DEMON OF SICILY
,292,1796,Gothified history,unsigned,unknown,"MONTFORD CASTLE: OR, THE KNIGHT OF THE WHITE ROSE, AN HISTORICAL ROMANCE OF THE ELEVENTH CENTURY"
,293,1799,Romance of the ruin (terror mode),unsigned,unknown,"MONTROSE: OR, THE GOTHIC RUIN"
,294,1817,Gothified history (terror mode),"Moore, George",m,THE MYSTERIES OF HUNGARY: A ROMANTIC HISTORY OF THE FIFTEENTH CENTURY
118,295,1797,"Pure or high Gothic (terror mode, in serialized form)","Moore, George",m,GRASVILLE ABBEY. A ROMANCE
119,296,1802,Pure or high Gothics (a multiple Gothic containing elements of several subspecies of Gothic fiction) ,"Moore, George",m,"THEODOSIUS DE ZULVIN, THE MONK OF MADRID. A SPANISH TALE, DELINEATING VARIOUS TRAITS OF THE HUMAN MIND"
120,297,1789,Novel of domestic sadism (titular character is a prototypical Gothic villain),"Moore, John",m,"ZELUCO. VARIOUS VIEWS OF HUMAN NATURE, TAKEN FROM LIFE, AND MANNERS, FOREIGN AND DOMESTIC"
,298,1805,Pure or high Gothic (terror mode),"Morley, G.T.",unknown,"DEEDS OF DARKNESS: OR, THE UNNATURAL UNCLE"
,299,1798,Pure or high Gothic (Radcliffean imitation),unsigned,unknown,MORT CASTLE: A GOTHIC STORY
,300,1793,"Pure or high Gothic (Otrantoesque terror, horror modes)",unsigned,unknown,MORTIMORE CASTLE: A CAMBRIAN TALE
,301,1797,Gothified history (imitation of OTRANTO),"Musgrave, Agnes",f,EDMUND OF THE FOREST: AN HISTORICAL NOVEL
,302,1798,Pure or high Gothic (terror mode),"Musgrave, Agnes",f,THE SOLEMN INJUNCTION
,303,1800,"Gothic bluebook (terror, horror modes)",unsigned,unknown,"THE MYSTERIOUS BRIDE: OR, THE STATUE SPECTRE"
,304,1800,Pure or high Gothic (Radcliffean imitation),unsigned,unknown,"THE MYSTERIOUS PENITENT: OR, THE NORMAN CHATEAU, A ROMANCE"
,305,n.d.,Gothic chapbook,unsigned,unknown,THE MYSTERY OF THE BLACK CONVENT: AN INTERESTING SPANISH TALE OF THE ELEVENTH CENTURY
,306,1808,Pure or high Gothic (imitation of Lathom’s Gothic thrillers),unsigned,unknown,MYSTERY UPON MYSTERY: A TALE OF EARLIER TIMES
,307,1800,Gothic chapbook,unsigned,unknown,"THE MYSTIC TOWER: OR, VILLAINY PUNISHED"
,308,1802,Pure or high Gothic (plotting taken from Reeve’s OLD ENGLISH BARON),unsigned,unknown,"NEVILLE CASTLE: OR, THE GENEROUS CAMBRIANS"
,309,1789,Pure or high Gothic (horror mode),"Nicholson, Mr.",m,THE SOLITARY CASTLE: A ROMANCE OF THE EIGHTEENTH CENTURY
,310,1812,Gothified history,Nubilia,unknown,THE CASTLE OF GLENROICH: A ROMANCE OF THE TWELFTH CENTURY
,311,1809,Pure or high Gothic (imitation of THE MONK),Orlando,unknown,"THE CHAMBER OF DEATH: OR, THE FATE OF ROSARIO, AN HISTORICAL ROMANCE OF THE SIXTEENTH CENTURY"
,312,1806,Pure or high Gothic (some philosophical content),"Owenson, Sydney (Lady Morgan)",f,THE NOVICE OF ST. DOMINICK
,313,1806,Pure or high Gothic (didactit and nationalistic elements),"Owenson, Sydney (Lady Morgan)",f,THE WILD IRISH GIRL
,314,1802,"Gothified history (terror mode, Macbethian overtones)",F.H.P.,unknown,THE CASTLE OF CAITHNESS: A ROMANCE OF THE THIRTEENTH CENTURY
122,315,1796,"Grotto Gothic (horror mode, elements of Gothified history)","Palmer, John, Jr.",m,THE HAUNTED CAVERN. A CALEDONIAN TALE
123,316,1796,Tower Gothic (elements of Gothified history),"Palmer, John, Jr.",m,THE MYSTERY OF THE BLACK TOWER. A ROMANCE
,317,1807,Pure or high Gothic (terror mode),"Palmer, John, Jr.",m,"THE MYSTIC SEPULCHRE: OR, SUCH THINGS HAVE BEEN, A SPANISH ROMANCE"
,318,1807,Gothic bluebook,unsigned,unknown,"PARENTAL MURDER: OR, THE BROTHERS, AN INTERESTING ROMANCE IN WHICH VIRTUE AND VILLAINY ARE CONTRASTED, AND FOLLOWED BY REWARD AND RETRIBUTION"
125,319,1793,"Pure or high Gothic (Germanic and Schauerromantik elements, sham translation)","Parsons, Eliza",f,CASTLE OF WOLFENBACH. A GERMAN STORY
127,320,1796,"Pure or high Gothic (terror mode, explained supernatural)","Parsons, Eliza",f,THE MYSTERIOUS WARNING. A GERMAN TALE
124,321,1798,Gothic parody (some serious motifs mixed with satire on the Gothic heroine),"Parsons, Eliza",f,ANECDOTES OF TWO WELL-KNOWN FAMILIES
,322,1799,Domestic Gothic (terror mode),"Parsons, Eliza",f,THE VALLEY OF ST. GOTHARD
,323,1802,Domestic novel (only slightly Gothic),"Parsons, Eliza",f,THE MYSTERIOUS VISIT: A NOVEL FOUNDED ON FACTS
128,324,1798,"Pure or high Gothic (artificial terror, numerous elements of Gothic parody)","Patrick, Mrs. F. C.",f,MORE GHOSTS!
,325,1816,Gothic parody (also satirizes other romantic attitudes toward nature and architecture),"Peacock, Thomas Love",m,HEADLONG HALL
,326,1818,Gothic Parody,"Peacock, Thomas Love",m,NIGHTMARE ABBEY
,327,1831,Gothic parody,"Peacock, Thomas Love",m,CROTCHET CASTLE
,328,1805,Sentimental Gothic (Radcliffean landscapes),"Picard, Mary",f,"THE CASTLE OF ROVIEGO: OR, RETRIBUTION"
129,329,1803,"Pure or high Gothic (elements of THE MONK, monster story, transformation motif)","Pickersgill, Joshua, Jr.",m,THE THREE BROTHERS. A ROMANCE
,330,1814,Sentimental Gothic (Radcliffean imitation),"Pilkington, Mary",f,"THE NOVICE: OR, THE HEIR OF MONTGOMERY CASTLE"
,331,1798,Sentimental and Grotto Gothic,"Pilkington, Miss",f,"THE SUBTERRANEAN CAVERN: OR, THE MEMOIRS OF ANTOINETTE DE MONFLORANCE"
,332,1802,Pure or high Gothic (terror and sentimental elements),"Pilkington, Miss",f,"THE ACCUSING SPIRIT: OR, DE COURCY AND EGLANTINE"
131,333,1819,Prototypical Vampire Tale (Gothic characterization and scenery),"Polidori, John William",m,THE VAMPYRE. A TALE
130,334,1819,Natural Gothic horror (uses incest motif),"Polidori, John William",m,"ERNESTUS BERCHTOLD, OR, THE MODERN OEDIPUS. A TALE"
,335,1818,Gothified history,"Porter, Anna Maria",f,THE FAST OF ST. MAGDALEN
132,336,1822,Gothified history,"Porter, Anna Maria",f,"ROCHE-BLANCHE, OR, THE HUNTERS OF THE PYRENEES. A ROMANCE"
,337,1802,Historical fiction (periodic Gothic elements),"Porter, Jane",f,THADDEUS OF WARSAW
,338,1810,Historical novel (intermittent Gothic elements),"Porter, Jane",f,THE SCOTTISH CHIEFS
,339,1806,"Pure or high Gothic (Schauerromantik elements, free translation from Veit Weber)","Powell, James",m,"WOLF: OR, THE TRIBUNAL OF BLOOD"
