clarity,illuminating,,,
blunt,character,,character,14
blunt,character,,current events,32
blunt,character,,writing,10
blunt,character,,future events,2
blunt,character,,past events,6
blunt,current novelistic events,,the world,18
blunt,current novelistic events,,,
blunt,current novelistic events,,blunt,24
blunt,current novelistic events,,verbose,35
blunt,current novelistic events,,oblique,14
blunt,current novelistic events,,obfuscatory,9
blunt,current novelistic events,,,
blunt,current novelistic events,blunt,character,5
blunt,current novelistic events,,past events,2
blunt,current novelistic events,,current events,14
blunt,current novelistic events,,future events,0
blunt,current novelistic events,,writing,0
blunt,current novelistic events,,the world,3
blunt,current novelistic events,,total,24
blunt,past novelistic events,,size,264
blunt,past novelistic events,,,
blunt,the world,verbose,character,4
blunt,the world,,past events,1
blunt,the world,,current events,8
oblique,character,,future events,1
oblique,character,,writing,8
obfuscatory,character,,the world,13
oblique,current novelistic events,,total,35
oblique,current novelistic events,,size,385
oblique,current novelistic events,,,
oblique,current novelistic events,oblique,character,2
oblique,current novelistic events,,past events,3
oblique,current novelistic events,,current events,6
oblique,current novelistic events,,future events,0
oblique,past novelistic events,,writing,1
oblique,past novelistic events,,the world,1
oblique,past novelistic events,,total,13
oblique,the world,,size,143
oblique,writing,,,
obfuscatory,character,obfuscatory,character,3
obfuscatory,character,,past events,0
obfuscatory,current novelistic events,,current events,4
obfuscatory,current novelistic events,,future events,1
obfuscatory,current novelistic events,,writing,1
obfuscatory,future novelistic events,,the world,1
obfuscatory,the world,,total,10
obfuscatory,writing,,size,110
verbose,character,,,
verbose,character,,,
verbose,character,,,
verbose,character,,,
verbose,current novelistic events,,,
verbose,current novelistic events,,,
verbose,current novelistic events,,,
verbose,current novelistic events,,,
verbose,current novelistic events,,,
verbose,current novelistic events,,,
verbose,current novelistic events,,,
verbose,current novelistic events,,,
verbose,future novelistic events,,,
verbose,past novelistic events,,,
verbose,the world,,,
verbose,the world,,,
verbose,the world,,,
verbose,the world,,,
verbose,the world,,,
verbose,the world,,,
verbose,the world,,,
verbose,the world,,,
verbose,the world,,,
verbose,the world,,,
verbose,the world,,,
verbose,the world,,,
verbose,the world,,,
verbose,writing,,,
verbose,writing,,,
verbose,writing,,,
verbose,writing,,,
verbose,writing,,,
verbose,writing,,,
verbose,writing,,,
verbose,writing,,,