phrase,bk.ch,context,information,I,clarity,illuminating,line no,character
to say the truth,0.01,"From the name of my patron, indeed, I hope my reader will be
convinced, at his very entrance on this work, that he will find in the
whole course of it nothing prejudicial to the cause of religion and
virtue, nothing inconsistent with the strictest rules of decency, nor
which can offend even the chastest eye in the perusal. On the
contrary, I declare, that to recommend goodness and innocence hath
been my sincere endeavour in this history. This honest purpose you
have been pleased to think I have attained: and to say the truth, it
is likeliest to be attained in books of this kind; for an example is a
kind of picture, in which virtue becomes, as it were, an object of
sight, and strikes us with an idea of that loveliness, which Plato
asserts there is in her naked charms.",,,blunt,writing,0,this book
to acknowledge the truth,1.04,"Perhaps the reader may account for this behaviour from her condescension to Mr Allworthy, when we have informed him that the good man had ended his narrative with owning a resolution to take care of the child, and to breed him up as his own; for, to acknowledge the truth, she was always ready to oblige her brother, and very seldom, if ever, contradicted his sentiments. She would, indeed, sometimes make a few observations, as that men were headstrong, and must have their own way, and would wish she had been blest with an independent fortune; but these were always vented in a low voice, and at the most amounted only to what is called muttering.",exterior,,obfuscatory,character,42,Bridget
to say the truth,1.06,"Whenever Mrs Deborah had occasion to exert any extraordinary
condescension to Mrs Bridget, and by that means had a little soured
her natural disposition, it was usual with her to walk forth among
these people, in order to refine her temper, by venting, and, as it
were, purging off all ill humours; on which account she was by no
means a welcome visitant: to say the truth, she was universally
dreaded and hated by them all.",interior,,blunt,character,58,Deborah
to say the truth,1.10,"Neither Mr Allworthy's house, nor his heart, were shut against any
part of mankind, but they were both more particularly open to men of
merit. To say the truth, this was the only house in the kingdom where
you was sure to gain a dinner by deserving it.",exterior,,blunt,character,113,Allworthy
to say the truth,1.10,"If this part of his character pleased Mr Allworthy, it delighted Miss
Bridget. She engaged him in many religious controversies; on which
occasions she constantly expressed great satisfaction in the doctor's
knowledge, and not much less in the compliments which he frequently
bestowed on her own. To say the truth, she had read much English
divinity, and had puzzled more than one of the neighbouring curates.
Indeed, her conversation was so pure, her looks so sage, and her whole
deportment so grave and solemn, that she seemed to deserve the name of
saint equally with her namesake, or with any other female in the Roman
kalendar.",exterior,,blunt,character,119,Bridget
to say the truth,1.11,"And to say the truth, there is, in all points, great difference
between the reasonable passion which women at this age conceive
towards men, and the idle and childish liking of a girl to a boy,
which is often fixed on the outside only, and on things of little
value and no duration; as on cherry-cheeks, small, lily-white hands,
sloe-black eyes, flowing locks, downy chins, dapper shapes; nay,
sometimes on charms more worthless than these, and less the party's
own; such are the outward ornaments of the person, for which men are
beholden to the taylor, the laceman, the periwig-maker, the hatter,
and the milliner, and not to nature. Such a passion girls may well be
ashamed, as they generally are, to own either to themselves or others.",,,verbose,the world,133,Bridget
to speak more truly,1.11,"The captain likewise very wisely preferred the more solid enjoyments he expected with this lady, to the fleeting charms of person. He was one of those wise men who regard beauty in the other sex as a very worthless and superficial qualification; or, to speak more truly, who rather chuse to possess every convenience of life with an ugly woman, than a handsome one without any of those conveniences. And having a very good appetite, and but little nicety, he fancied he should play his part very well at the matrimonial banquet, without the sauce of beauty.",interior,,verbose,character,137,Captain
to confess the truth,2.03,"This woman was not very amiable in her person. Whether she sat to my friend Hogarth, or no, I will not determine; but she exactly resembled the young woman who is pouring out her mistress's tea in the third picture of the Harlot's Progress. She was, besides, a profest follower of that noble sect founded by Xantippe of old; by means of which she became more formidable in the school than her husband; for, to confess the truth, he was never master there, or anywhere else, in her presence.",exterior,,blunt,character,207,Mrs Partridge
to say the truth,2.03,"Mr Partridge had profited too much by experience to interpose in a
matter of this nature. He therefore had recourse to his usual receipt
of patience, for, though he was not a great adept in Latin, he
remembered, and well understood, the advice contained in these words
     --_Leve fit quod bene fertur onus_
in English:
     A burden becomes lightest when it is well borne--
which he had always in his mouth; and of which, to say the truth, he
had often occasion to experience the truth.",exterior,,blunt,character,227,Mr Partridge
,,"The captain chid her for the conclusion of her speech, as an improper assurance in judging of her master's actions: for if his honour, or his understanding, would have suffered the captain to make an alliance with Mrs. Wilkins, his pride would by no means have admitted it. And to say the truth, there is no conduct less politic, than to enter into any confederacy with your friend's servants against their master: for by these means you afterwards become the slave of these very servants; by whom you are constantly liable to be betrayed. And this consideration, perhaps it was, which prevented Captain Blifil from being more explicit with Mrs. Wilkins, or from encouraging the abuse which she had bestowed on Allworthy.",,,verbose,the world,262,Captain
to say the truth,2.09,"To say the truth, every physician almost hath his favourite disease,
to which he ascribes all the victories obtained over human nature. The
gout, the rheumatism, the stone, the gravel, and the consumption, have
all their several patrons in the faculty; and none more than the
nervous fever, or the fever on the spirits. And here we may account
for those disagreements in opinion, concerning the cause of a
patient's death, which sometimes occur, between the most learned of
the college; and which have greatly surprized that part of the world
who have been ignorant of the fact we have above asserted.",,,blunt,the world,340,Dr Y and Dr Z
to say the truth,3.02,"To say the truth, some of that atrocious wickedness in Jones, of which
we have just mentioned three examples, might perhaps be derived from
the encouragement he had received from this fellow, who, in two or
three instances, had been what the law calls an accessary after the
fact: for the whole duck, and great part of the apples, were converted
to the use of the gamekeeper and his family; though, as Jones alone
was discovered, the poor lad bore not only the whole smart, but the
whole blame; both which fell again to his lot on the following
occasion.",exterior,,obfuscatory,character,390,George
to say the truth,3.02,"Tom was then interrogated who was with him, which Mr Allworthy
declared he was resolved to know, acquainting the culprit with the
circumstance of the two guns, which had been deposed by the squire and
both his servants; but Tom stoutly persisted in asserting that he was
alone; yet, to say the truth, he hesitated a little at first, which
would have confirmed Mr Allworthy's belief, had what the squire and
his servants said wanted any further confirmation.",exterior,,blunt,current novelistic events,402,Tom
to say the truth,3.05,"Had the bare delight in the sport been the only inducement to the
pedagogue, it is probable Master Blifil would likewise have had his
share; but though Mr Allworthy had given him frequent orders to make
no difference between the lads, yet was Thwackum altogether as kind
and gentle to this youth, as he was harsh, nay even barbarous, to the
other. To say the truth, Blifil had greatly gained his master's
affections; partly by the profound respect he always showed his
person, but much more by the decent reverence with which he received
his doctrine; for he had got by heart, and frequently repeated, his
phrases, and maintained all his master's religious principles with a
zeal which was surprizing in one so young, and which greatly endeared
him to the worthy preceptor.",interior,,oblique,past novelistic events,450,Blifil
,,"Nor was Blifil contented with flattering both these gentlemen to their faces; he took frequent occasions of praising them behind their backs to Allworthy; before whom, when they two were alone, and his uncle commended any religious or virtuous sentiment (for many such came constantly from him) he seldom failed to ascribe it to the good instructions he had received from either Thwackum or Square; for he knew his uncle repeated all such compliments to the persons for whose use they were meant; and he found by experience the great impressions which they made on the philosopher, as well as on the divine: for, to say the truth, there is no kind of flattery so irresistible as this, at second hand.",,,verbose,the world,454,Blifil
to say the truth,4.02,"It may, however, be proper to say, that whatever mental
accomplishments she had derived from nature, they were somewhat
improved and cultivated by art: for she had been educated under the
care of an aunt, who was a lady of great discretion, and was
thoroughly acquainted with the world, having lived in her youth about
the court, whence she had retired some years since into the country.
By her conversation and instructions, Sophia was perfectly well bred,
though perhaps she wanted a little of that ease in her behaviour which
is to be acquired only by habit, and living within what is called the
polite circle. But this, to say the truth, is often too dearly
purchased; and though it hath charms so inexpressible, that the
French, perhaps, among other qualities, mean to express this, when
they declare they know not what it is; yet its absence is well
compensated by innocence; nor can good sense and a natural gentility
ever stand in need of it.",,,blunt,the world,547,Sophia
to say the truth,4.05,"Many accidents from time to time improved both these passions in her
breast; which, without our recounting, the reader may well conclude,
from what we have before hinted of the different tempers of these
lads, and how much the one suited with her own inclinations more than
the other. To say the truth, Sophia, when very young, discerned that
Tom, though an idle, thoughtless, rattling rascal, was nobody's enemy
but his own; and that Master Blifil, though a prudent, discreet, sober
young gentleman, was at the same time strongly attached to the
interest only of one single person; and who that single person was the
reader will be able to divine without any assistance of ours.",interior,without any assistance of ours,oblique,past novelistic events,589,Sophia
to say the truth,4.06,"Now, though Molly was, as we have said, generally thought a very fine
girl, and in reality she was so, yet her beauty was not of the most
amiable kind. It had, indeed, very little of feminine in it, and would
have become a man at least as well as a woman; for, to say the truth,
youth and florid health had a very considerable share in the
composition.",exterior,,oblique,character,628,Molly
to say the truth,4.09,"The whole family were soon reduced to a state of perfect quiet; for
the virtue of this medicine, like that of electricity, is often
communicated through one person to many others, who are not touched by
the instrument. To say the truth, as they both operate by friction, it
may be doubted whether there is not something analogous between them,
of which Mr Freke would do well to enquire, before he publishes the
next edition of his book.",exterior,,obfuscatory,world,676,George
to say the truth,4.11,"A lawyer may perhaps think Mr Allworthy exceeded his authority a
little in this instance. And, to say the truth, I question, as here
was no regular information before him, whether his conduct was
strictly regular. However, as his intention was truly upright, he
ought to be excused in _foro conscientiae_; since so many arbitrary
acts are daily committed by magistrates who have not this excuse to
plead for themselves.",interior,I question,oblique,current novelistic events,706,Allworthy
to say truth,4.14,"However this be, certain it is that the accident operated very
strongly on Sophia; and, indeed, after much enquiry into the matter, I
am inclined to believe, that, at this very time, the charming Sophia
made no less impression on the heart of Jones; to say truth, he had
for some time become sensible of the irresistible power of her charms.",interior,,oblique,past novelistic events,753,Tom
to say the truth,4.14,"Sophia, when her arm was bound up, retired: for she was not willing
(nor was it, perhaps, strictly decent) to be present at the operation
on Jones. Indeed, one objection which she had to bleeding (though she
did not make it) was the delay which it would occasion to setting the
broken bone. For Western, when Sophia was concerned, had no
consideration but for her; and as for Jones himself, he ""sat like
patience on a monument smiling at grief."" To say the truth, when he
saw the blood springing from the lovely arm of Sophia, he scarce
thought of what had happened to himself.",interior,,blunt,current novelistic events,758,Tom
to say the truth,5.01,"To avoid, therefore, all imputation of laying down a rule for
posterity, founded only on the authority of _ipse dixit_--for which,
to say the truth, we have not the profoundest veneration--we shall
here waive the privilege above contended for, and proceed to lay
before the reader the reasons which have induced us to intersperse
these several digressive essays in the course of this work.",,we have not the profoundest veneration,oblique,writing,779,narrator
to say the truth,5.01,"For we are not here to understand, as perhaps some have, that an
author actually falls asleep while he is writing. It is true, that
readers are too apt to be so overtaken; but if the work was as long as
any of Oldmixon, the author himself is too well entertained to be
subject to the least drowsiness. He is, as Mr Pope observes,

     Sleepless himself to give his readers sleep.

To say the truth, these soporific parts are so many scenes of serious
artfully interwoven, in order to contrast and set off the rest; and
this is the true meaning of a late facetious writer, who told the
public that whenever he was dull they might be assured there was a
design in it.",,,verbose,writing,797,this book
to confess the truth,5.02,"The countenance of Sophia had undergone more than one change during the foregoing speeches; and probably she imputed the passionate resentment which Jones had expressed against the mare, to a different motive from that from which her father had derived it. Her spirits were at this time in a visible flutter; and she played so intolerably ill, that had not Western soon fallen asleep, he must have remarked it. Jones, however, who was sufficiently awake, and was not without an ear any more than without eyes, made some observations; which being joined to all which the reader may remember to have passed formerly, gave him pretty strong assurances, when he came to reflect on the whole, that all was not well in the tender bosom of Sophia; an opinion which many young gentlemen will, I doubt not, extremely wonder at his not having been well confirmed in long ago. To confess the truth, he had rather too much diffidence in himself, and was not forward enough in seeing the advances of a young lady; a misfortune which can be cured only by that early town education, which is at present so generally in fashion.",interior,,blunt,character,809,Tom
to confess the truth,5.05,"But to confess the truth, this inconsistency is rather imaginary than real. Philosophers are composed of flesh and blood as well as other human creatures; and however sublimated and refined the theory of these may be, a little practical frailty is as incident to them as to other mortals. It is, indeed, in theory only, and not in practice, as we have before hinted, that consists the difference: for though such great beings think much better and more wisely, they always act exactly like other men. They know very well how to subdue all appetites and passions, and to despise both pain and pleasure; and this knowledge affords much delightful contemplation, and is easily acquired; but the practice would be vexatious and troublesome; and, therefore, the same wisdom which teaches them to know this, teaches them to avoid carrying it into execution.",,,blunt,the world,843,Square
to say the truth,5.06,"But, to say the truth, there is a more simple and plain method of
accounting for that prodigious superiority of penetration which we
must observe in some men over the rest of the human species, and one
which will serve not only in the case of lovers, but of all others.
From whence is it that the knave is generally so quick-sighted to
those symptoms and operations of knavery, which often dupe an honest
man of a much better understanding? There surely is no general
sympathy among knaves; nor have they, like freemasons, any common sign
of communication. In reality, it is only because they have the same
thing in their heads, and their thoughts are turned the same way.
Thus, that Sophia saw, and that Western did not see, the plain
symptoms of love in Jones can be no wonder, when we consider that the
idea of love never entered into the head of the father, whereas the
daughter, at present, thought of nothing else.",,,verbose,the world,867,Sophia
to say the truth,5.08,"To say the truth, Mr Allworthy's situation had never been so bad as
the great caution of the doctor had represented it: but as a wise
general never despises his enemy, however inferior that enemy's force
may be, so neither doth a wise physician ever despise a distemper,
however inconsiderable. As the former preserves the same strict
discipline, places the same guards, and employs the same scouts,
though the enemy be never so weak; so the latter maintains the same
gravity of countenance, and shakes his head with the same significant
air, let the distemper be never so trifling. And both, among many
other good ones, may assign this solid reason for their conduct, that
by these means the greater glory redounds to them if they gain the
victory, and the less disgrace if by any unlucky accident they should
happen to be conquered.",exterior,,verbose,current novelistic events,907,Allworthy
to say truth,5.09,"To say truth, nothing is more erroneous than the common observation,
that men who are ill-natured and quarrelsome when they are drunk, are
very worthy persons when they are sober: for drink, in reality, doth
not reverse nature, or create passions in men which did not exist in
them before. It takes away the guard of reason, and consequently
forces us to produce those symptoms, which many, when sober, have art
enough to conceal. It heightens and inflames our passions (generally
indeed that passion which is uppermost in our mind), so that the angry
temper, the amorous, the generous, the good-humoured, the avaricious,
and all other dispositions of men, are in their cups heightened and
exposed.",,,verbose,the world,928,Tom
to say the truth,5.10,"Some of my readers may be inclined to think this event unnatural.
However, the fact is true; and perhaps may be sufficiently accounted
for by suggesting, that Jones probably thought one woman better than
none, and Molly as probably imagined two men to be better than one.
Besides the before-mentioned motive assigned to the present behaviour
of Jones, the reader will be likewise pleased to recollect in his
favour, that he was not at this time perfect master of that wonderful
power of reason, which so well enables grave and wise men to subdue
their unruly passions, and to decline any of these prohibited
amusements. Wine now had totally subdued this power in Jones. He was,
indeed, in a condition, in which, if reason had interposed, though
only to advise, she might have received the answer which one
Cleostratus gave many years ago to a silly fellow, who asked him, if
he was not ashamed to be drunk? ""Are not you,"" said Cleostratus,
""ashamed to admonish a drunken man?""--To say the truth, in a court of
justice drunkenness must not be an excuse, yet in a court of
conscience it is greatly so; and therefore Aristotle, who commends the
laws of Pittacus, by which drunken men received double punishment for
their crimes, allows there is more of policy than justice in that law.
Now, if there are any transgressions pardonable from drunkenness, they
are certainly such as Mr Jones was at present guilty of; on which head
I could pour forth a vast profusion of learning, if I imagined it
would either entertain my reader, or teach him anything more than he
knows already. For his sake therefore I shall keep my learning to
myself, and return to my history.",,,verbose,the world,943,Tom
,5.10,"It hath been observed, that Fortune seldom doth things by halves. To say truth, there is no end to her freaks whenever she is disposed to gratify or displease. No sooner had our heroe retired with his Dido, but",,,blunt,character,944,Tom
to say the truth,6.02,"Sophia retained the same gravity of countenance the next morning at
breakfast; whence she retired likewise earlier than usual, leaving her
father and aunt together. The squire took no notice of this change in
his daughter's disposition. To say the truth, though he was somewhat
of a politician, and had been twice a candidate in the country
interest at an election, he was a man of no great observation. His
sister was a lady of a different turn. She had lived about the court,
and had seen the world. Hence she had acquired all that knowledge
which the said world usually communicates; and was a perfect mistress
of manners, customs, ceremonies, and fashions. Nor did her erudition
stop here. She had considerably improved her mind by study …",interior,,oblique,character,1010,Squire Western
to say the truth,6.03,"To say the truth, in discovering the deceit of others, it matters much
that our own art be wound up, if I may use the expression, in the same
key with theirs: for very artful men sometimes miscarry by fancying
others wiser, or, in other words, greater knaves, than they really
are. As this observation is pretty deep, I will illustrate it by the
following short story. Three countrymen were pursuing a Wiltshire
thief through Brentford. The simplest of them seeing ""The Wiltshire
House,"" written under a sign, advised his companions to enter it, for
there most probably they would find their countryman. The second, who
was wiser, laughed at this simplicity; but the third, who was wiser
still, answered, ""Let us go in, however, for he may think we should
not suspect him of going amongst his own countrymen."" They accordingly
went in and searched the house, and by that means missed overtaking
the thief, who was at that time but a little way before them; and who,
as they all knew, but had never once reflected, could not read.",,if I may use the expression,verbose,the world,1024,Sophia
to say truth,6.03,"To say truth, the wisest man is the likeliest to possess all worldly
blessings in an eminent degree; for as that moderation which wisdom
prescribes is the surest way to useful wealth, so can it alone qualify
us to taste many pleasures. The wise man gratifies every appetite and
every passion, while the fool sacrifices all the rest to pall and
satiate one.",,,verbose,the world,1033,Allworthy
to confess the truth,6.06,"[…] ”Heaven forbid!"" answered the waiting-woman; ""but if I can't be of any service to you, pray tell me, madam—it will be some comfort to me to know—pray, dear ma'am, tell me what's the matter.""—""My father,"" cries Sophia, ""is going to marry me to a man I both despise and hate.""—""O dear, ma'am,"" answered the other, ""who is this wicked man? for to be sure he is very bad, or your la'ship would not despise him.""—""His name is poison to my tongue,"" replied Sophia: ""thou wilt know it too soon."" Indeed, to confess the truth, she knew it already, and therefore was not very inquisitive as to that point. She then proceeded thus: ""I don't pretend to give your la'ship advice, whereof your la'ship knows much better than I can pretend to, being but a servant; but, i-fackins! no father in England should marry me against my consent. And, to be sure, the 'squire is so good, that if he did but know your la'ship despises and hates the young man, to be sure he would not desire you to marry him. And if your la'ship would but give me leave to tell my master so. To be sure, it would be more properer to come from your own mouth; but as your la'ship doth not care to foul your tongue with his nasty name—""—""You are mistaken, Honour,"" says Sophia; ""my father was determined before he ever thought fit to mention it to me.""—""More shame for him,"" cries Honour: ""you are to go to bed to him, and not master: and thof a man may be a very proper man, yet every woman mayn't think him handsome alike. I am sure my master would never act in this manner of his own head. I wish some people would trouble themselves only with what belongs to them; they would not, I believe, like to be served so, if it was their own case; for though I am a maid, I can easily believe as how all men are not equally agreeable. […]",interior,,blunt,past novelistic events,1061,Honour
to say the truth,6.08,"[…] “Happier for us both!"" cried he. ""Could racks or wheels kill me so painfully as
Sophia's--I cannot bear the dreadful sound. Do I live but for her?""
Both his voice and looks were full of inexpressible tenderness when he
spoke these words; and at the same time he laid gently hold on her
hand, which she did not withdraw from him; to say the truth, she
hardly knew what she did or suffered. A few moments now passed in
silence between these lovers, while his eyes were eagerly fixed on
Sophia, and hers declining towards the ground: at last she recovered
strength enough to desire him again to leave her, for that her certain
ruin would be the consequence of their being found together; adding,
""Oh, Mr Jones, you know not, you know not what hath passed this cruel
afternoon.""--""I know all, my Sophia,"" answered he; ""your cruel father
hath told me all, and he himself hath sent me hither to you.""--""My
father sent you to me!"" replied she: ""sure you dream.""--""Would to
Heaven,"" cries he, ""it was but a dream! Oh, Sophia, your father hath
sent me to you, to be an advocate for my odious rival, to solicit you
in his favour. I took any means to get access to you. O speak to me,
Sophia! comfort my bleeding heart. Sure no one ever loved, ever doated
like me. Do not unkindly withhold this dear, this soft, this gentle
hand--one moment, perhaps, tears you for ever from me--nothing less
than this cruel occasion could, I believe, have ever conquered the
respect and awe with which you have inspired me."" […]",interior,,blunt,current novelistic events,1080,Sophia
to say the truth,6.09,"So trembled poor Sophia, so turned she pale at the noise of her
father, who, in a voice most dreadful to hear, came on swearing,
cursing, and vowing the destruction of Jones. To say the truth, I
believe the youth himself would, from some prudent considerations,
have preferred another place of abode at this time, had his terror on
Sophia's account given him liberty to reflect a moment on what any
otherways concerned himself, than as his love made him partake
whatever affected her.",interior,I believe,oblique,current novelistic events,1091,Tom
to say truth,6.09,"No sooner had the squire swallowed a large draught than he renewed the
discourse on Jones, and declared a resolution of going the next
morning early to acquaint Mr Allworthy. His friend would have
dissuaded him from this, from the mere motive of good-nature; but his
dissuasion had no other effect than to produce a large volley of oaths
and curses, which greatly shocked the pious ears of Supple; but he did
not dare to remonstrate against a privilege which the squire claimed
as a freeborn Englishman. To say truth, the parson submitted to please
his palate at the squire's table, at the expense of suffering now and
then this violence to his ears. He contented himself with thinking he
did not promote this evil practice, and that the squire would not
swear an oath the less, if he never entered within his gates. However,
though he was not guilty of ill manners by rebuking a gentleman in his
own house, he paid him off obliquely in the pulpit: which had not,
indeed, the good effect of working a reformation in the squire
himself; yet it so far operated on his conscience, that he put the
laws very severely in execution against others, and the magistrate was
the only person in the parish who could swear with impunity.",interior,,verbose,character,1103,Supple
to say the truth,7.06,"And, to say the truth, Blifil had passed sentence against Sophia; for,
however pleased he had declared himself to Western with his reception,
he was by no means satisfied, unless it was that he was convinced of
the hatred and scorn of his mistress: and this had produced no less
reciprocal hatred and scorn in him. It may, perhaps, be asked, Why
then did he not put an immediate end to all further courtship? I
answer, for that very reason, as well as for several others equally
good, which we shall now proceed to open to the reader.",interior,,blunt,current novelistic events,1260,Blifil
to say truth,7.06,"For these reasons Mr Blifil was so desirous of the match that he
intended to deceive Sophia, by pretending love to her; and to deceive
her father and his own uncle, by pretending he was beloved by her. In
doing this he availed himself of the piety of Thwackum, who held, that
if the end proposed was religious (as surely matrimony is), it
mattered not how wicked were the means. As to other occasions, he used
to apply the philosophy of Square, which taught, that the end was
immaterial, so that the means were fair and consistent with moral
rectitude. To say truth, there were few occurrences in life on which
he could not draw advantage from the precepts of one or other of those
great masters.",exterior,,obfuscatory,character,1263,Blifil
to say truth,7.07,"Though Mrs Honour was principally attached to her own interest, she
was not without some little attachment to Sophia. To say truth, it was
very difficult for any one to know that young lady without loving her.
She no sooner therefore heard a piece of news, which she imagined to
be of great importance to her mistress, than, quite forgetting the
anger which she had conceived two days before, at her unpleasant
dismission from Sophia's presence, she ran hastily to inform her of
the news.",interior,,blunt,character,1269,Sophia
,,"Thus Fortune, after having diverted herself, according to custom, with two or three frolicks, at last disposed all matters to the advantage of our heroine; who indeed succeeded admirably well in her deceit, considering it was the first she had ever practised. And, to say the truth, I have often concluded, that the honest part of mankind would be much too hard for the knavish, if they could bring themselves to incur the guilt, or thought it worth their while to take the trouble.",,,verbose,the world,1290,Sophia?
,,"The tenderness of lovers can ill brook the least jesting with the names of their mistresses. However, Jones, though he had enough of the lover and of the heroe too in his disposition, did not resent these slanders as hastily as, perhaps, he ought to have done. To say the truth, having seen but little of this kind of wit, he did not readily understand it, and for a long time imagined Mr. Northerton had really mistaken his charmer for some other. But now, turning to the ensign with a stern aspect, he said, “Pray, sir, chuse some other subject for your wit; for I promise you I will bear no jesting with this lady's character.” “Jesting!” cries the other, “d—n me if ever I was more in earnest in my life. Tom French of our regiment had both her and her aunt at Bath.” “Then I must tell you in earnest,” cried Jones, “that you are one of the most impudent rascals upon earth.”",,,blunt,current novelistic events,1360,Tom
to say the truth,7.12,"The first thing done was securing the body of Northerton, who being
delivered into the custody of six men with a corporal at their head,
was by them conducted from a place which he was very willing to leave,
but it was unluckily to a place whither he was very unwilling to go.
To say the truth, so whimsical are the desires of ambition, the very
moment this youth had attained the above-mentioned honour, he would
have been well contented to have retired to some corner of the world,
where the fame of it should never have reached his ears.",interior,,obfuscatory,current novelistic events,1368,Northerton
to say the truth,8.01,"To say the truth, if the historian will confine himself to what really
happened, and utterly reject any circumstance, which, though never so
well attested, he must be well assured is false, he will sometimes
fall into the marvellous, but never into the incredible. He will often
raise the wonder and surprize of his reader, but never that
incredulous hatred mentioned by Horace. It is by falling into fiction,
therefore, that we generally offend against this rule, of deserting
probability, which the historian seldom, if ever, quits, till he
forsakes his character and commences a writer of romance. In this,
however, those historians who relate public transactions, have the
advantage of us who confine ourselves to scenes of private life. The
credit of the former is by common notoriety supported for a long time;
and public records, with the concurrent testimony of many authors,
bear evidence to their truth in future ages. Thus a Trajan and an
Antoninus, a Nero and a Caligula, have all met with the belief of
posterity; and no one doubts but that men so very good, and so very
bad, were once the masters of mankind.",,,verbose,writing,1455,this book
